-philia	['-philie']
soreness	['Schmerz', 'Wundsein']
unsweetened	['ungesüßt']
North Korean	['officially: der Demokratischen Volksrepublik Korea', 'Nordkoreanerin', 'Nordkoreaner', 'nordkoreanisch']
Odesa	['']
diamond anvil cell	['Diamantstempelzelle']
demineralized	['entmineralisiert']
diopter	['', 'Dioptrie', 'Diopter']
shot-putter	['Kugelstoßer', 'Kugelstoßerin']
carbonyl	['Carbonylverbindung', 'Carbonyl']
consumer credit	['Konsumentenkredit', 'Verbraucherkredit']
godlessness	['Gottlosigkeit']
primary school	['Volksschule', 'Grundschule']
sophist	['Sophist', 'Sophistin']
confusion	['Missverständnis', 'Durcheinander', 'Verwirrung']
sourish	['säuerlich']
godliness	['Göttlichkeit']
noise	['Rauschen', 'Lärm', 'Störung', 'Krach', 'Geräusch']
rosehip	['Hagebutte']
southern	['südlich', 'südländisch']
red flag	['Warnsignal', 'Warnhinweis']
Pleiades	['Siebengestirn', 'Plejaden']
frontier	['Landesgrenze', 'Grenze']
Cape Horn	['Kap Hoorn']
pyrrole	['Pyrrol']
homologous	['homolog']
cor anglais	['Englischhorn']
Kabul	['Kabul']
auscultation	['Auskultation']
glycogenolysis	['Glykogenolyse']
untouchable	['', 'unantastbar']
lesser spotted woodpecker	['Kleinspecht']
industrial espionage	['Wirtschaftsspionage']
cuvette	['Küvette']
fenugreek	['Bockshornklee']
zonked	['']
Chang Jiang	['']
potassium chloride	['Kaliumchlorid']
gadwall	['Schnatterente']
radish	['Rettich', 'Radieschen']
military order	['Militärorden']
Krnov	['Jägerndorf']
contemn	['verachten']
dehumidifier	['Luftentfeuchter']
unjust	['ungerecht']
back seat	['Rücksitz']
short sale	['Leerverkauf']
get up	['aufstehen', 'sich erheben']
rest area	['Autobahnraststätte', 'Rasthof']
quantum	['Minimum', 'Quantum', 'Quant']
sculpture	['Skulptur', 'Bildhauerkunst']
shithouse	['', 'Scheisshaus', 'Plumpsklo']
rime	['Raureif']
clouded leopard	['Nebelparder']
insulator	['Isolierstoff', 'Nichtleiter', 'Isolator']
petrification	['Versteinerung']
separation of concerns	['Separation of Concerns']
Romeo	['', 'Romeo']
a little	['ein bisschen', 'ein wenig', 'etwas']
infertile	['unfruchtbar']
talk	['', 'Verhandlung', 'Unterredung', 'sprechen', 'Gespräch', 'Vortrag', 'reden']
birthday party	['Geburtstagsfeier', 'Geburtstagsfest', 'Geburtstagsparty']
heir	['Erbe', 'Thronerbe']
urbane	['weltgewandt', 'weltmännisch']
hard-working	['']
gamma-ray burst	['Gammablitz', 'Gammastrahlenblitz']
break one's fast	['frühstücken']
ethylene	['Ethen', 'Äthen', 'Äthylen', 'Ethylen']
derby	['Derby', '']
classicistic	['klassizistisch']
deadly sin	['Hauptsünde']
ray	['Strahl', 'Hoffnungsstrahl', 'Rochen']
Argo Navis	['Schiff Argo']
inch	['sich zentimeterweise fortbewegen', 'Zoll']
apposite	['passend']
chore	['lästige Pflicht', 'Hausarbeit']
Bohemia	['Böhmerland', 'Böhmen']
Kuban	['Kuban']
Americanisation	['Amerikanisierung']
defy	['herausfordern', '', 'trotzden']
necrosis	['Gewebetod', 'Nekrose']
wed	['trauen', 'heiraten', 'vermählen', 'verheiraten']
busy work	['Beschäftigungstherapie']
give rise to	['führen zu']
manipulation	['Manipulation', 'Manipulieren', 'Manipulierung']
Lombard rate	['Lombardsatz']
Hawaiian	['Hawaiisch', 'Hawaiier', 'Hawaiianisch', 'Hawaiianer', 'hawaiianisch', 'hawaiisch']
scripting language	['Skriptsprache']
phase diagram	['Phasendiagramm']
afford	['sich leisten', 'imstande sein', 'gewähren']
traffic circle	['Kreisverkehr']
Siamese	['Siamesin', 'Siamesisch', 'Siamkatze', 'siamesisch', 'Siamese']
fundraiser	['Spendenaktion']
internee	['Internierte']
institutional	['']
aquarium	['Aquarium']
cytoskeleton	['Zytoskelett']
ice floe	['']
Helvetii	['Helvetier']
expedite	['beschleunigen']
smoothness	['Glätte']
enzymatic	['enzymatisch']
eggnog	['Eierkognak']
2nd	['2.']
sulfuric acid	['Schwefelsäure']
influx	['Einfluss', 'Zufluss']
Lupus	['Wolf']
transpose	['die Reihenfolge ändern', 'umstellen', 'transponieren', 'Transponierte', 'umformen', 'vertauschen']
mental illness	['Geisteskrankheit']
time clock	['Stempeluhr', 'Stechuhr']
pixie	['Kobold']
fragment	['Fragment', 'fragmentieren', 'Satzfragment', 'Bruchstück']
Guangzhou	['Guangzhou']
overhear	['zufällig mit anhören']
Esbjerg	['Esberg', 'Esbjerg']
chintz	['Chintz']
Aguascalientes	['Aguascalientes']
smelting	['Schmelzen']
allative	['Allativ']
waggon	['']
telephone conference	['Telefonkonferenz']
snow bunting	['Schneeammer']
rassolnik	['Rassolnik']
foley	['', 'Geräuschemachen']
exoplanet	['Exoplanet', 'extrasolarer Planet']
armored personnel carrier	['Transportpanzer']
zorbing	['Zorbing']
Shanghai	['Schanghai']
FRG	['BRD']
excessive	['übermäßig', 'exzessiv']
bloat	['aufblähen', 'schwellen', 'aufblasen']
St. Bartholomew's Day massacre	['Bartholomäusnacht']
bless	['segnen', 'benedeien']
depilation	['']
antimicrobe	['']
body corporate	['']
extent	['Umfang', 'Größe', 'Ausmaß']
situation comedy	['Situationskomik']
private sector	['Privatsektor']
mudflat	['Wattenmeer']
limber up	['sich aufwärmen']
plumber	['Klempner', 'Bleiarbeiterin', 'Klempnerin', 'Bleiarbeiter']
preposition	['Vorwort', 'Präposition', 'Lagewort', 'Verhältniswort']
fortitude	['innere Kraft /Stärke', 'Standhaftigkeit']
push-up bra	['Push-up-BH']
ailing	['kränklich', 'krank', 'kränkelnd', 'leidend', 'notleidend', 'angeschlagen', 'dahinsiechend', 'marode']
next to nothing	['so gut wie nichts', 'fast nichts']
love life	['Liebesleben']
winch	['Winde', 'winden']
pharyngealization	['Pharyngalisierung']
pistil	['Stempel']
dispatching	['Versendung']
rook	['betrügen', 'lügen', 'hintergehen', 'Saatkrähe', 'schwindeln', 'abgaunern', 'Burg', 'Schwindlerin', 'hinters Licht führen', 'Gaunerin', 'Turm', 'Betrügerin', 'übers Ohr hauen', 'Gauner', 'ergaunern', 'Festung', 'Schwindler', 'falsch spielen', 'Betrüger']
middleman	['', 'Mittelsmann']
lutein	['Lutein']
mathematician	['Mathematiker', 'Mathematikerin']
contingency	['Kontingenz']
translation	['Translation', 'Übersetzen', 'Übersetzung', 'Untersetzung']
etching	['Radierung']
wristwatch	['Armbanduhr']
universe	['Universum', 'Weltall']
cowmilk	['']
virtuoso	['Virtuose']
public sector	['öffentlicher Sektor', 'öffentliche Hand']
triple-click	['Dreifachklick']
Tocharian A	['Tocharisch A', 'Osttocharisch']
pillowslip	['']
Hades	['Hades']
openly	['öffentlich', 'offen']
eighthly	['achtens']
fortuity	['Zufall', 'Zufälligkeit']
scientific	['wissenschaftlich']
irregular	['unregelmäßig', 'irregulär']
stereotomy	['Stereotomie']
cutlass	['', 'Entermesser']
snow cream	['Schneemilch']
fame	['Ruhm']
patch	['', 'Flicken', 'Patch']
bureaucratize	['bürokratisieren']
fatalistic	['fatalistisch', 'schicksalsergeben']
Southern Europe	['Südeuropa']
Cupid	['Amor', 'Cupido']
Waldemar	['Waldemar']
back end	['Back-End']
iff	['gdw.']
Austrofascism	['Austrofaschismus']
customary	['üblich']
analyze	['analysieren']
calamus	['']
index finger	['']
log on	['']
libido	['Libido', 'sexuelle Begierde']
-ist	['-ist']
Moksha	['Mokscha']
synchronised skating	['Synchroneiskunstlauf']
culpable	['verdammungswürdig', 'verdammenswert', 'strafbar', 'schuldig']
indoctrination	['Indoktrination']
Suebi	['Sueben']
centrist	['gemäßigt']
bullshit	['Quatsch']
Philistine	['', 'Sumperin', 'Barbar', 'Proletin', 'Primitivling', 'Spießbürger', 'Prolet', 'Barbarin', 'Kulturbanausin', 'Kunstbanause', 'Ignorantin', 'Philister', 'Spießer', 'Kunstbarbar', 'Kunstbanausin', 'Spießbürgerin', 'Kulturbanause', 'Banausin', 'Sumper', 'Ignorant', 'Spießerin', 'Banause', 'Philisterin', 'Kunstbarbarin']
algolagnia	['Algolagnie']
fatso	['Fettsack', 'Rollmops', 'Fettwanst']
landing gear	['Fahrwerk']
pleased	['froh', 'zufrieden']
how do you pronounce this word	['wie wird dieses Wort ausgesprochen?']
quotidian	['tägliches Fieber', 'Alltag', 'alltäglich', 'täglich', 'täglich wiederkehrend', 'Alltägliche']
the bends	['']
nine	['neun', 'Neun']
Paracelsus	['Paracelsus']
neat	['', 'nett', 'Hornvieh; Rindvieh', 'pur', 'unverdünnt', 'adrett', 'Hausrind', 'sauber']
charitable organization	['FW', 'Freie Wohlfahrtspflege']
citric acid cycle	['Zitronensäurezyklus']
presbytery	['']
isotonic	['isotonisch']
getter	['Getter']
topknot	['Haarknoten']
media democracy	['Mediendemokratie']
fascinate	['bezaubern', 'faszinieren']
belle	['Schöne', 'Schönheit']
seduction	['Verführung']
hemp-nettle	['Hohlzahn']
birch sap	['Birkensaft']
hydrogenase	['Hydrogenase']
selection	['Wahl', 'Nominierung', 'Aussonderung', 'Auswahl', 'Selektion', 'Anwahl', 'Sichtung', 'Aufruf', 'Auslese', 'Markierung']
Napoleon	['Napoleon']
demystify	['entmystifizieren']
poste restante	['Postlagerservice']
bulletin board system	['Bulletin Board System']
Perm	['Perm']
moth-eaten	['mottenzerfressen']
celandine	['Schöllkraut']
Cenozoic	['Känozoikum']
vermin	['Ungeziefer', 'Gewürm', 'Schädlinge', 'Gesindel', 'Pack']
Barnaul	['Barnaul']
transgression	['Regelverstoß', 'Gesetzesverstoß', 'Überschreitung', 'Verstoß', 'Regelübertretung', 'Transgression', 'Übertretung']
spellbound	['gebannt', 'bezaubert']
henhouse	['Hühnerstall', 'Hühnerschlag']
hogweed	['Bärenklau']
westernize	['verwestlichen']
Viborg	['Viborg']
man of few words	['kein Mann vieler Worte']
deftly	['gewandt', 'sicher und geschickt', 'flink']
abysm	['']
rubbish	['', 'Quatsch', 'Müll', 'Unsinn .', 'Blödsinn']
Julia	['Julia']
superfluid	['suprafluid']
fingerprint	['Fingerabdruck']
monosaccharide	['Monosaccharid']
deprecative	['abwertend', 'deprekativ']
ineptness	['Unfähigkeit  ; Untauglichkeit']
Bahrain	['Bahrain']
leg up	['Räuberleiter']
pediatrician	['Kinderarzt', 'Kinderärztin']
Cornelia	['Kornelia', 'Cornelia']
extrasensory perception	['ASW', 'außersinnliche Wahrnehmung']
call an ambulance	['rufen Sie einen Krankenwagen']
Namur	['Namür', 'Namur']
Vladivostok	['Wladiwostok']
relatively prime	['relativ prim']
lose track	['den Faden verlieren']
silvern	['']
to whom it may concern	['']
schmaltzy	['schmalzig']
New Swabia	['Neuschwabenland']
bereave	['berauben']
pedicab	['Fahrradrikscha']
schoolbook	['Schulbuch']
recursive	['rekursiv']
miso	['Miso']
lunatic	['Irre']
cover song	['']
unimpressed	['unbeeindruckt']
prom	['Promenade', 'Prom', 'Abschlussball', 'Ball']
rod	['', 'Stäbchen', 'Stange']
Don	['Don']
eelgrass	['Gewöhnliches Seegras']
Karlovac	['Karlovac', 'Karlstadt']
stupidity	['Dummheit']
doublethink	['Doppeldenk']
knee-high to a grasshopper	['drei Käse hoch']
windrow	['Schwade']
aroma	['Aroma', 'Duft']
fall behind	['sich verspäten', 'zu spät sein']
yuck	['pfui', 'igitt']
calculator	['Rechner', 'Taschenrechner']
geography	['Geografie', 'Geographie', 'Erdkunde']
sexual intercourse	['', 'Koitus', 'Geschlechtsverkehr']
shuttle	['Shuttlebus', 'Pendelverkehr']
formidable	['respekteinflößend']
pull out	['herausziehen']
in flagrante delicto	['auf frischer Tat', 'in flagranti']
Tarantino	['Tarentinerin', 'Tarentiner', 'Tarentinisch']
draconian	['drakonisch']
non-negotiable	['nicht verhandelbar']
commando	['Kommando', 'Kommandosoldat']
Achilles tendon	['Achillessehne']
deduce	['ableiten', 'herleiten', 'folgern']
founder	['Gründerin', 'scheitern', 'Glockengießer', 'Eisengießer', 'sinken', 'stolpern', 'Gründer']
shchi	['Schtschi']
myelinating	['myelinisierend']
protection money	['Schutzgeld']
camp	['', 'zelten', 'Lager']
stairway	['Treppe']
dry run	['Probelauf']
on sale	['zum Verkauf']
fastidious	['penibel', 'wählerisch', 'mäkelig', 'akribisch', 'pedantisch', 'anspruchsvoll', 'pingelig', 'kleinlich', 'manisch']
iritis	['Iritis']
elegant	['elegant']
arithmetic progression	['arithmetische Reihe', 'arithmetische Progression']
Al-Andalus	['Al-Andalus']
blacking	['']
decorticator	['Schälmaschine']
Seville orange	['']
annulus	['Ring']
daylight robbery	['Halsabschneiderei', 'Beutelschneiderei']
abreast	['auf dem Laufenden', 'beieinander']
itchy feet	['Fernweh']
Cantabrian	['kantabrisch', 'Kantabrisch']
etiquette	['Etikette']
daddy	['Papa', 'Vati', 'Papi']
beer goggles	['Bierbrille']
fatuous	['töricht', 'albern']
Jordanian	['Jordanier', 'jordanisch', 'Jordanierin']
catmint	['']
o	['o']
legman	['']
bismuth	['Bismut', 'Wismut']
grade	['Zensur', 'Note', 'Klasse', 'Grad', 'Sorte']
doormat	['Fußabstreifer', 'Fußmatte']
vexillology	['Vexillologie', 'Flaggenkunde', 'Fahnenkunde']
Japan	['Japan']
underrate	['unterschätzen']
salt shaker	['Salzstreuer', 'Salzfässchen']
meanie	['Fiesling']
mobilization	['Mobilmachung']
face	['', 'Facette', 'Ansehen', 'gegenüber sein', 'Antlitz', 'Angesicht', 'Gesichtsausdruck', 'etwas  anlehnen', 'Gesicht', 'Fläche', 'stellen', 'gegenüberliegen', 'Visage', 'sich ausrichten']
ossicle	['Gehörknöchelchen']
secant	['Sekante']
acrylamide	['Acrylamid']
fanciful	['fantasievoll']
apoptogenic	['apoptogen']
wunderkind	['', 'Wunderkind']
IaaS	['IaaS']
Minoan	['minoisch']
Rhineland	['Rheinland']
eye doctor	['Augenarzt', 'Augenärztin']
annoyed	['sauer', 'verärgert']
palatable	['schmackhaft', 'annehmbar', 'genießbar']
enzyme	['Enzym']
top off	['abrunden']
snow cannon	['Schneekanone']
drum brake	['Trommelbremse']
burr	['Klette', 'ratschen', 'Grat']
tektite	['Tektit']
rheumatics	['']
beginning	['Beginn', 'Begonnene', 'Angefangene', 'Anfang']
subconscious	['Unterbewusstsein', 'unterbewusst']
even if	['selbst wenn']
popup blocker	['Pop-up-Blocker']
parasitology	['Parasitologie']
bye	['tschüss']
photocopier	['Fotokopierer']
quiet	['leise', 'ruhen', 'ruhig', 'still']
tritium	['Tritium']
metabolite	['Metabolit']
across	['quer', 'über']
qipao	['Qipao']
portyanki	['']
East Frisia	['Ostfriesland']
herd immunity	['Herdenimmunität']
Chinatown	['Chinesenstadt', 'Chinatown']
diocese	['Diözese', 'Eparchie', 'Bistum']
emoji	['Emoji']
Kansas	['Kansas']
paving stone	['Pflasterstein']
franchising	['Franchising']
neonate	['']
overhang seat	['Überhangmandat']
Catherine	['Katharina']
caudal	['kaudal', 'schwanzartig']
debtless	['schuldenfrei']
smelter dust	['Hüttenrauch']
bosom friend	['Busenfreund']
green turtle	['']
Comoran	['']
Ido	['Ido']
six of one, half a dozen of the other	['Jacke wie Hose']
trihedron	['Dreiflächner', 'Dreibein']
award	['Preis', 'Entscheid', 'Spruch']
clergyman	['Seelenhirte', 'Pastor', 'Geistlicher', 'Seelsorger', 'Pfarrer', 'Kleriker', 'Seelenhirt']
snowy	['schneebedeckt', 'verschneit', 'schneeweiß']
false	['unwahr', 'falsch', 'unecht']
Naypyidaw	['Pyinmana Naypyidaw']
conceited	['eingebildet']
honeybee	['']
fever	['Fieber']
sword swallower	['Schwertschlucker']
hair roller	['Lockenwickler']
bumper	['Stoßstange']
bounty	['', 'Kopfgeld', 'Heuer', 'Belohnung', 'Geschenk', 'Prämie']
kindle	['anzünden', 'entfachen']
allegory	['Allegorie', 'Allegorik', 'Sinnbild']
soccer	['Fußball']
hereto	['', 'hierzu']
standardization	['Standardisierung']
compass needle	['Kompassnadel']
red-black tree	['Rot-Schwarz-Baum']
pillow talk	['Bettgeflüster']
Vishnu	['Vishnu']
upright	['aufrecht', 'hochkant']
pulp	['Fruchtfleisch', 'Pulpa', 'Fleisch']
countermeasure	['Gegenmaßnahme']
out of sight, out of mind	['aus dem Sinn', 'aus den Augen']
Lithuanian SSR	['Litauische SSR']
aerosol can	['Sprühdose']
rubashka	['']
marsupialization	['Marsupialisation']
Balochistan	['Belutschistan']
greater bamboo lemur	['Großer Bambuslemur', 'Großer Halbmaki', 'Breitschnauzen-Halbmaki']
disc brake	['Scheibenbremse']
revanchism	['Revanchismus']
housewife	['Hausfrau']
boozer	['Weinsäufer', 'Süffel', 'Zechgenossin', 'Trinker', 'Biersäuferin', 'Schluckspecht', 'Schnapsbruder', 'Zecher', 'Alki', 'Suffkopp', 'Pietsch', 'Gewohnheitstrinkerin', 'Schnapsschwester', 'Trunksüchtige', 'Säuferin', 'Alkoholikerin', 'Alkoholiker', 'Biersäufer', 'Zechbruder', 'Gewohnheitstrinker', 'Säufer', 'Schnapsdrossel', 'Besoffski', 'Besoffener', 'Saufkumpan', 'Besoffene', 'Trunkenbold', 'Söffel', 'Saufbold', 'Trunksüchtiger', 'Trinkerin', 'Alkoholsüchtiger', 'Zechschwester', 'Söfferin', 'Saufaus', 'Zecherin', 'Zechgenosse', 'Weinsäuferin', 'Saufkumpanin', 'Söffer', 'Alkoholsüchtige']
emerging	['entstehend']
help oneself	['sich bedienen', 'sich auftun', 'zugreifen']
to this end	['hierzu']
tasteful	['geschmackvoll']
Sabellian	['Sabellisch']
Jan Mayen	['Jan Mayen']
minimalism	['Minimalismus']
at a loss	['ratlos']
overdose	['Überdosis']
Good Samaritan	['barmherziger Samariter']
militarization	['Militarisierung']
Kama	['Kama']
Courland	['Kurland']
homewards	['nach Hause', 'heimwärts', 'heim']
faultlessness	['Fehlerlosigkeit']
Malaysian	['', 'Malaysier', 'Malaysierin', 'malaysisch']
seam	['Naht', 'Schicht', 'Saum', 'Flöz']
terrorist	['Terroristin', 'Terrorist']
needs	['']
enormousness	['Riesigkeit']
scutch grass	['']
soothing	['erleichternd', 'lindernd', 'beruhigend']
carrion crow	['Rabengeier', 'Rabenkrähe']
spurge	['Wolfsmilch']
a stitch in time saves nine	['was du heute kannst besorgen', 'das verschiebe nicht auf morgen']
sprawl	['ausspreizen', 'sich ausbreiten', 'Wuchern', 'Ausufern', 'grätschen']
mitch	['schwänzen']
Gorbachev	['Gorbatschow']
to let	['']
torsion	['Windungen', 'Windung']
plan B	['Plan B']
curiosity killed the cat	['Neugier ist der Katze Tod']
bonsai	['Bonsai']
obtain	['bestehen', 'erlangen']
patronising	['']
I'm sorry	['es tut mir leid', 'ich bitte um Verzeihung']
non-governmental organization	['Nichtregierungsorganisation']
Taibei	['']
at worst	['schlimmstenfalls']
noumenon	['Ding an sich']
sprocket	['Kettenrad']
here and there	['', 'hier und da']
head-turner	['Hingucker']
interparliamentary	['interparlamentarisch']
Swahili	['Suaheli', 'Swahili']
have a look	['']
hind leg	['Hinterbein', 'Hinterlauf']
minimal	['minimal']
Baumgartner	['Baumgartner']
keep away	['fernhalten']
antshrike	['Ameisenwürger']
plenty	['Überfluss', '', 'Fülle']
vista	['Aussicht']
sheet metal	['Blech']
crustacean	['Krustentier', 'Krebstier  / Schalentier']
pre-render	['vorrendern']
cat-flap	['']
xyster	['Raspatorium', 'Knochenschaber']
savant	['Gelehrter', 'Gelehrte']
all-night	['abendfüllend']
perioperative	['perioperative']
overruff	['überstechen']
hieratic	['hieratisch']
compound interest	['Zinseszins']
misapprehend	['missverstehen']
bongo drum	['']
reservation	['Bedenken', 'Vorbehalt', 'Reservat', 'Vorbestellung', 'Reservierung']
functionality	['Funktionalität']
off the top of one's head	['aus dem Stegreif']
take-home	['']
binaural	['binaural']
Pinsk	['Pinsk']
repartee	['sich einen Schlagabtausch  liefern', 'schlagfertig antworten', 'schlagfertige Antwort', 'Schlagfertigkeit', 'Schlagabtausch']
Russianism	['Russismus']
crematorium	['Krematorium']
Strait of Kerch	['Straße von Kertsch']
forgivable	['verzeihlich']
Falkland Islands	['Falklandinseln']
phantom pain	['Phantomschmerz']
denominative	['']
paranoia	['Verfolgungswahn', 'Paranoia']
Damascus	['Damaskus']
goon	['Trottel', 'Gorilla', 'Schläger']
Parmesan	['']
amphetamine	['Benzedrin', 'Amphetamin']
bounce	['auf und ab hüpfen', 'hüpfen', 'Bounce', 'platzen', 'abprallen']
set point	['Satzball']
rabbit food	['Hasenfutter', 'Kaninchenfutter']
deny	['', 'leugnen', 'bestreiten', 'dementieren']
Vientiane	['Vientiane', 'Vieng Chan']
incandescent	['', 'Glüh-', 'glühend']
snowy owl	['Schneeeule', 'Schnee-Eule']
tsar	['Zar']
miser	['Geizhals', 'Pfennigklauberin', 'Rappenspalter', 'Geizkragen', 'Pfennigklauber', 'Geizige', 'Geiziger', 'Knauser', 'Pfennigfuchser', 'Pfennigfuchserin', 'Knauserin', 'Rappenspalterin']
small-scale	['kleinangelegt / klein angelegt']
thingamajig	['Dingsbums', 'Dingsda']
world peace	['Weltfrieden']
dazed	['verwirrt', 'überwältigt', 'betäubt', 'wirr', 'konfus', 'benommen', 'verblüfft', 'verdutzt', 'bestürzt', 'fassungslos', 'durcheinander', 'sprachlos']
water strider	['Wasserläufer']
roselle	['Hibiskus', 'Afrikanische Malve', 'Roselle']
cistern	['Zisterne', 'Spülkasten']
net	['netto verdienen', 'Netto-', 'netto', 'mit einem Netz fangen', 'Netz', 'Netto']
Ixion	['Ixion']
flask	['Flakon', 'Flachmann', 'Kolben', 'Formkasten', 'Flasche', 'Reiseflasche']
calibrate	['kalibrieren']
broadcasting	['Rundfunk']
Ripuarian	['', 'nordmittelfränkisch', 'Nordmittelfränkisch', 'ripuarisch', 'Ripuarisch']
Charon	['Charon']
keep pace	['']
lazy eye	['']
nipple	['Brustwarze', 'Nippel']
cisalpine	['zisalpin']
Olympian	['Olympionike']
luminous intensity	['Lichtstärke']
pocket money	['Taschengeld']
royal jelly	['Weiselfuttersaft']
snath	['Sensenwurf']
Russo-	['Russisch-']
bullfighter	['Torero', 'Matador', 'Stierkämpfer']
American Samoa	['Amerikanisch-Samoa']
imperialism	['Imperialismus']
rake	['Rechen', 'harken', 'Wagenzug', 'Harke', 'durchkämmen', 'rechen']
tool	['bearbeiten', 'Instrument', 'Tool', 'Werkzeug', 'Gerät', 'ausstatten', 'Teil']
sail	['Windmühlenflügel', 'segeln', 'Törn', 'Segel']
machine-washable	['']
slow cooker	['Schongarer']
management	['Führung', 'Leitung', 'Management', 'Handhabung', 'Verwaltung', 'Regie']
alleluia	['Halleluja']
Aleutian Islands	['Alëuten', 'Aleuten']
farsightedness	['Weitsichtigkeit', 'Weitblick']
over the moon	['überglücklich']
beta particle	['Beta-Teilchen']
pineapple	['Handgranate', 'Ananas']
the icing on the cake	['Sahnehäubchen', 'das Sahnehäubchen auf dem Kuchen']
oligopolistic	['oligopolistisch']
counterpoint	['Kontrapunkt', 'kontrapunktieren']
perennial	['dauerhaft', 'wiederkehrend', 'mehrjährig', 'ganzjährig']
once or twice	['ein- oder zweimal']
asininity	['Dümmlichkeit', 'Dämlichkeit']
beguile	['irreleiten', 'betören', 'in die Irre führen', 'verführen', 'irreführen']
citizenship	['Staatsbürgerschaft', 'Staatsangehörigkeit', 'Bürgerschaft']
clean-shaven	['glattrasiert']
fathom	['loten', 'begreifen', 'ausloten', 'sondieren', 'ergründen', 'Klafter', 'umarmen', 'verstehen', 'Faden']
cockpit voice recorder	['Cockpit-Stimmenaufzeichnungsgerät', 'Cockpit-Stimmenrekorder']
yowl	['jaulen']
embolism	['Embolie']
round dance	['Rundtanz', 'Kreistanz']
flog a dead horse	['auf etwas herumreiten; seine Zeit verschwenden', 'sich vergeblich bemühen']
quick buck	['schnelles Geld']
listen	['lauschen', 'zuhören', 'hören']
dinghy	['Schlauchboot', 'Jolle', 'Dingi', 'Floßsack']
crass	['dicht', 'krass']
beta function	['Betafunktion']
pomologist	['Pomologin', 'Pomologe']
liability	['Schulden', 'Verbindlichkeit', 'Schuld']
Ugandan	['ugandisch', 'Ugander', 'Uganderin']
mathesis	['Mathesis']
dominant	['dominant']
idiomatic	['idiomatisch']
seat of government	['Regierungssitz']
God	['Gott']
clergyperson	['Seelenhirte', 'Klerikerin', 'Pastor', 'Seelsorgerin', 'Geistlicher', 'Geistliche', 'Seelsorger', 'Pfarrer', 'Seelenhirtin', 'Pastorin', 'Kleriker', 'Seelenhirt', 'Pfarrerin']
busby	['Kalpak']
Tajik	['Tadschike', 'Tadschikin', 'Tadschikisch', 'tadschikisch']
string	['', 'Zeichenkette', 'Saite', 'auffädeln', 'String', 'Schnur', 'einfädeln']
halal	['halal']
-free	['-frei; lead-free - bleifrei']
out of work	['']
expensive	['teuer']
nominee	['Nominierte', 'Kandidat']
campion	['Leimkraut', 'Pechnelke']
Finn	['Finnin', 'Finne']
amanuensis	['Schreiber', 'Sekretär', 'Schreiberin', 'Sekretärin']
fast food	['Fertigkost', 'Fastfood', 'Fertigessen', 'Schnellgericht', 'Schnellkost', 'Schnellimbiss']
comb	['', 'kämmen', 'durchkämmen', 'Kamm']
corroborate	['stützen', 'bekräftigen', 'bestätigen', 'untermauern']
diversification	['Diversifizierung', 'Diversifikation']
at it	['dabei']
Möbius strip	['Möbiusband']
personal	['persönlich']
tremble	['Zittern', 'zittern']
mass murder	['Massenmord']
Schengen Area	['Schengen-Raum']
requirement	['Anforderung']
take someone's word for it	['jemanden beim Wort nehmen']
bone marrow	['Knochenmark']
schadenfreude	['']
nautical	['nautisch']
anemia	['Blutmangel', 'Blutarmut', 'Anämie']
arachidonic acid	['Arachidonsäure']
tailpiece	['Seitenhalter']
ardent	['feurig']
manitou	['Manitu']
obsidian	['Obsidian']
turn back	['']
pomp	['Pomp']
50s	['']
Hydrus	['Kleine Wasserschlange']
gaffer	['', 'Oberbeleuchter']
contractual	['vertraglich']
repurpose	['abändern', 'abwandeln', 'umändern', 'umwandeln']
dive	['Tauchen', 'tauchen', 'ins Wasser springen', 'eine Schwalbe machen', 'abtauchen', 'Schwalbe']
sage	['weise', 'Salbei', 'Weiser', 'Weise']
emphatic	['emphatisch']
extra	['', 'besonders']
Tacitus	['Tacitus']
physiological	['physiologisch']
Reading	['Reading']
eventful	['ereignisreich']
multipolar	['multipolar']
faithfully	['vertrauend', 'glaubend', 'brav']
slim	['dünn', 'schmal', 'schlank']
ecgonine	['Ecgonin']
green-eyed	['grünäugig']
myoglobin	['Myoglobin']
talk around	['']
contempt	['Schande', 'Blamage', 'Verachtung', 'Beamtenbeleidigung', 'Mißachtung']
papal infallibility	['Unfehlbarkeit']
panel discussion	['Podiumsdiskussion']
thing-in-itself	['Ding-an-sich']
carapace	['Carapax', 'Schale', 'Rückenpanzer', 'Rückenschild']
so that	['damit', 'sodass']
Khmer	['Kambodschanisch', 'Khmer-Sprache', 'Khmer']
never mind	['macht nichts', 'das macht nichts', 'nicht so wichtig', 'das ist egal', 'vergiss es', 'sorg dich nicht', 'kümmere dich nicht', 'schon gut', 'kümmer dich nicht', 'sorge dich nicht', 'ganz egal']
context menu	['Kontextmenü']
Fehmarn Belt	['Fehmarnbelt']
nothing ventured, nothing gained	['']
neoliberal	['Neoliberale', 'Neoliberaler', 'neoliberal']
fit as a fiddle	['kerngesund', 'fit wie ein Turnschuh']
Nizhny Novgorod	['Nischni Nowgorod']
licentious	['lasterhaft', 'regellos', 'hemmungslos', 'zügellos', 'ungehörig', 'willkürlich', 'unorthodox', 'liederlich', 'ausschweifend']
presentiment	['Vorahnung']
goods train	['Güterzug']
Anthropocene	['Anthropozän']
chronophagous	['']
dangerous goods	['Gefahrgut']
weighing	['Wiegen']
